ticker,close,open,high,low,volume,change_%,value_traded,high_52w,low_52w,market_cap,roe,pe,pb,perf_y,rvol,tarih,dist_from_52w_low,stop_price,target_cup,target_bagger,potansiyel_cup,mcap_milyon,score_base,score_quality,score_flow,score_ignition,quant_score,regime,score_diff,perf_1m,perf_w,sector,industry,oper_margin,tier
OUT,28.81,28.74,29.17,28.49,1717141.0,-0.5179558011049797,49470832.21,34.96,16.97,5074456504.748619,36.1928708770892,21.030732170231403,7.318888626381025,59.70066518847007,1.2861110439106078,2026-09-08,69.8,16.29,34.96,72.02,21.3,5074.5,20.0,85.0,12.9,45.0,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,-6.914378029079162,-2.7346387575962265,Finance,Real Estate Investment Trusts,20.2131512235501,
NSIT,157.34,160.98,160.98,156.04,315834.0,-2.2611504534724727,49693321.56,161.755,63.62,4617747975.921978,13.1118813595855,23.02918532829835,2.8933442049813185,23.10460840309835,1.3524870793149564,2026-09-08,147.3,61.08,161.75,393.35,2.8,4617.7,20.0,55.0,13.5,47.3,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,5.251187370392664,0.8719066546993293,Technology Services,Information Technology Services,5.74088028322916,
SYNA,94.72,99.57,100.46,94.44,525441.0,-4.313567026972417,49769771.52,149.11,58.28,3704213367.401152,-42.230252968508,15.0,3.980653151553535,34.373670024116905,0.6232775649802753,2026-09-08,62.5,55.95,149.11,236.8,57.4,3704.2,20.0,55.0,10.0,21.8,0.0,⚠️ SAHTE KÂR (FAALİYET KÂRI YETERSİZ),0.0,-8.474248719683057,-0.5981739951726386,Electronic Technology,Semiconductors,-2.93184096224524,
AMTM,20.14,20.1,20.25,19.68,2475221.0,0.3988035892323123,49850950.940000005,38.11,19.68,4924358940.175474,4.45755490003278,24.12842937582365,1.048051659475839,-16.845582163501234,1.4039344771097435,2026-09-08,2.3,18.89,38.11,50.35,89.2,4924.4,65.0,40.0,57.0,51.1,0.0,⚠️ SAHTE KÂR (FAALİYET KÂRI YETERSİZ),0.0,-15.55555555555556,0.0496770988574344,Electronic Technology,Aerospace & Defense,3.93489030431706,
CYPH,2.63,2.43,2.825,2.3,17910234.0,8.677685950413222,47103915.42,3.6999,0.277,283420331.78925616,-1.20935491877877,4.6499292786421496,2.034328323574229,856.3636363636363,1.3424323422939184,2026-09-08,849.5,0.27,3.7,6.57,40.7,283.4,20.0,55.0,31.4,90.4,0.0,⚠️ BİYOTEK TUZAĞI (FDA RİSKİ),0.0,291.8939055282372,51.14942528735632,Health Technology,Biotechnology,10.0,
NOG,25.68,26.46,26.4735,25.62,1717728.0,-0.9259259259259336,44111255.04,31.17,17.18,2736181555.759259,-22.0501901844499,15.0,1.3712908930905734,3.256936067551261,0.8663004530339111,2026-09-08,49.5,16.49,31.17,64.2,21.4,2736.2,20.0,55.0,10.0,30.3,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,23.16546762589927,-3.1674208144796374,Energy Minerals,Oil & Gas Production,29.639635042929303,
HWC,74.55,75.51,75.8,74.47,592568.0,-1.7009493670886155,44175944.4,80.13,54.05,5980628310.656645,9.66898093467398,14.5987545529315,1.3498946973492632,17.902894195793138,1.020594174273024,2026-09-08,37.9,51.89,80.13,186.38,7.5,5980.6,20.0,55.0,10.2,35.7,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,-2.834799608993154,0.2959773980895989,Finance,Regional Banks,36.583353824977095,
BNL,20.96,20.73,21.02,20.71,2121183.0,0.7208073041806926,44459995.68,23.1,17.155,4022076649.4877462,4.90554445153996,27.96531020680453,1.3954504055860626,12.809472551130265,1.2297652655431877,2026-09-08,22.2,16.47,23.1,52.4,10.2,4022.1,90.0,40.0,55.2,46.6,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,0.3831417624521161,0.3350885591191971,Finance,Real Estate Investment Trusts,49.6613054867464,
PRGO,14.58,14.81,14.89,14.475,3061977.0,-2.27882037533512,44643624.66,22.65,9.225,2023255771.5160863,-48.7457248751449,15.0,0.8038181915413848,-35.37234042553191,1.1715321965636123,2026-09-08,58.0,8.86,22.65,36.45,55.3,2023.3,20.0,55.0,11.7,41.0,0.0,⚠️ BİYOTEK TUZAĞI (FDA RİSKİ),0.0,14.532600157109188,0.4132231404958712,Health Technology,Pharmaceuticals: Major,6.41993775483124,
FTDR,81.04,82.14,82.47,80.23,554559.0,-1.8886198547215356,44941461.36000001,93.43,48.47,5583113783.533174,101.85873605948,21.44539416232237,19.77053107686453,27.904040404040416,1.415621953513828,2026-09-08,67.2,46.53,93.43,202.6,15.3,5583.1,20.0,85.0,14.2,49.5,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,-10.453038674033142,1.3887151257350172,Consumer Durables,Homebuilding,20.1210992081975,
